cell_id,cell_type,institution
0,ER2,UCSF
1,ER2,UCSF
2,ER2,UCSF
3,ER2,UCSF
4,ER2,UCSF
5,ER2,UCSF
6,ER2,UCSF
7,ER2,UCSF
8,ER2,UCSF
9,ER2,UCSF
10,ER2,UCSF
11,ER2,UCSF
12,ER2,UCSF
13,ER2,UCSF
14,ER2,UCSF
15,ER2,UCSF
16,ER2,UCSF
17,ER2,UCSF
18,ER2,UCSF
19,ER2,UCSF
20,ER2,UCSF
21,ER2,UCSF
22,ER2,UCSF
23,ER2,UCSF
24,ER2,UCSF
25,ER2,UCSF
26,ER2,UCSF
27,ER2,UCSF
28,ER2,UCSF
29,ER2,UCSF
30,ER2,UCSF
31,ER2,UCSF
32,ER2,UCSF
33,ER2,UCSF
34,ER2,UCSF
35,ER2,UCSF
36,ER2,UCSF
37,ER2,UCSF
38,ER2,UCSF
39,ER2,UCSF
40,ER2,UCSF
41,ER2,UCSF
42,ER2,UCSF
43,ER2,UCSF
44,ER2,UCSF
45,ER2,UCSF
46,ER2,UCSF
47,ER2,UCSF
48,ER2,UCSF
49,ER2,UCSF
50,ER2,UCSF
51,ER2,UCSF
52,ER2,UCSF
53,ER2,UCSF
54,ER2,UCSF
55,ER2,UCSF
56,ER2,UCSF
57,ER2,UCSF
58,ER2,UCSF
59,ER2,UCSF
60,ER2,UCSF
61,ER2,UCSF
62,ER2,UCSF
63,ER2,UCSF
64,ER2,UCSF
65,ER2,UCSF
66,ER2,UCSF
67,ER2,UCSF
68,ER2,UCSF
69,ER2,UCSF
70,ER2,UCSF
71,ER2,UCSF
72,ER2,UCSF
73,ER2,UCSF
74,ER2,UCSF
75,ER2,UCSF
76,ER2,UCSF
77,ER2,UCSF
78,ER2,UCSF
79,ER2,UCSF
80,ER2,UCSF
81,ER2,UCSF
82,ER2,UCSF
83,ER2,UCSF
84,ER2,UCSF
85,ER2,UCSF
86,ER2,UCSF
87,ER2,UCSF
88,ER2,UCSF
89,ER2,UCSF
90,ER2,UCSF
91,ER2,UCSF
92,ER2,UCSF
93,ER2,UCSF
94,ER2,UCSF
95,ER2,UCSF
96,ER2,UCSF
97,ER2,UCSF
98,ER2,UCSF
99,ER2,UCSF
100,ER2,UCSF
101,ER2,UCSF
102,ER2,UCSF
103,ER2,UCSF
104,ER2,UCSF
105,ER2,UCSF
106,ER2,UCSF
107,ER2,UCSF
108,ER2,UCSF
109,ER2,UCSF
110,ER2,UCSF
111,ER2,UCSF
112,ER2,UCSF
113,ER2,UCSF
114,ER2,UCSF
115,ER2,UCSF
116,ER2,UCSF
117,ER2,UCSF
118,ER2,UCSF
119,ER2,UCSF
120,ER2,UCSF
121,ER2,UCSF
122,ER2,UCSF
123,ER2,UCSF
124,ER2,UCSF
125,ER2,UCSF
126,ER2,UCSF
127,ER2,UCSF
128,ER2,UCSF
129,ER2,UCSF
130,ER2,UCSF
131,ER2,UCSF
132,ER2,UCSF
133,ER2,UCSF
134,ER2,UCSF
135,ER2,UCSF
136,ER2,UCSF
137,ER2,UCSF
138,ER2,UCSF
139,ER2,UCSF
140,ER2,UCSF
141,ER2,UCSF
142,ER2,UCSF
143,ER2,UCSF
144,ER2,UCSF
145,ER2,UCSF
146,ER2,UCSF
147,ER2,UCSF
148,ER2,UCSF
149,ER2,UCSF
